uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"b8187627-db9f-431f-ae82-3b581555ec4a","D17","BIGC","BIGC.AOS.riparian.transect.07",,,,37.060952,-119.258135,"WGS84",0.4,1150.8,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Left Bank","river Left",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"fca581d3-0e5a-4612-9d7e-9478f669aee6","D17","BIGC","BIGC.AOS.riparian.transect.06",,,,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Right",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"bd3cb54d-9563-43a5-8e35-bc1309b75506","D17","BIGC","BIGC.AOS.riparian.transect.04",,,,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Right Bank","river Right",17,13,76.5,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"3d6d2562-839c-4e5e-87e5-3fcd00006f05","D17","BIGC","BIGC.AOS.riparian.transect.03",,,,37.058766,-119.256738,"WGS84",0.3,1135.0,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Right",17,15,88.2,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"bda2df90-693a-4717-893c-be5c4254c01d","D17","BIGC","BIGC.AOS.riparian.transect.01",,,,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Left",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"2b1f7cb8-eb91-49ea-a07e-194b3efbd99d","D17","BIGC","BIGC.AOS.riparian.transect.07",,,,37.060952,-119.258135,"WGS84",0.4,1150.8,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Right Bank","river Right",17,17,100.0,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"e184f5e4-46db-4c00-b827-df47a2bf48c3","D17","BIGC","BIGC.AOS.riparian.transect.02",,,,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","upstream",17,8,47.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"a4329ed7-5f68-4a60-95af-0a202eac6ce1","D17","BIGC","BIGC.AOS.riparian.transect.09",,,,37.062020,-119.258550,"WGS84",0.6,1134.5,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Right",17,15,88.2,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"a4c54561-f249-4533-a5af-e540ab8d6553","D17","BIGC","BIGC.AOS.riparian.transect.05",,,,37.059846,-119.257886,"WGS84",0.3,1133.1,0.2,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","downstream",17,9,52.9,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"4f7a97ef-b00f-434c-a7b5-e10cbf5575ac","D17","BIGC","BIGC.AOS.riparian.transect.06",,,,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Left",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
